German	Spanish
niemand	 nadie
es ist niemand gekommen	 no ha venido nadie
es ist niemand gekommen	 nadie ha venido
die Nase	 la nariz
die Nase voll haben von	 estar hasta las narices de
die Nase in etw. stecken	 meter las narices en algo
natürlich, selbstverständlich	 naturalmente
hast du deine Hausaufgaben gemacht? Ja, natürlich	 ¿has hecho los deberes? Sí, naturalmente
das Weihnachten	 feliz navidad
frohe Weihnachten und ein glückliches neues Jahr	 feliz Navidad/felices Navidades y feliz Año Nuevo
benötigen / brauchen	 necesitar
ich muss hinausgehen	 necesito salir
Hilfe brauchen	 necesitar (de) auxilio
notwendig / nötigen	 necesario
es ist notwendig, dass	 es necesario que (+subj.)
schwarz	 negro
welche Farbe hat dein Auto? Schwarz	 ¿de qué color es tu coche? Negro
schneien	 nevar
es schneit	 nieva
der Schnee	 la nieve
der Enkel, der Enkelsohn	 el nieto
die Enkelin, die Enkeltochter	 la nieta
die Enkel, die Enkelkinder	 los nietos
meine Großeltern haben fünf Enkel/Enkelkinder	 mis abuelos tienen cinco nietos
keine(r,s)	 ninguno(m.), ningún(vor männl. Sub. im Sing.), ninguna(f.)
er hat keinen Arzt konsultiert	 no ha consultado a ningún doctor
keineswegs	 de ninguna manera
nirgends	 por ningún lado
der Junge, das Kind	 el niño
das Mädchen	 la niña
die Kinder	 los niños
diese Familie hat drei Kinder	 esa familia tiene tres niños
nein	 no
sprechen Sie Spanisch? Nein	 ¿habla Vd. español? No.
die Nacht	 la noche
heute Abend, heute Nacht	 esta noche
nachts	 de noche
abends	 por la noche
guten Abend!, gute Nacht	 ¡buenas noches!
der Name, der Vorname	 el nombre
Vor- und Nachnamen	 nombres y apellidos
vom Namen her kennen	 conocer de nombre
normal	 normal
das ist eine normale Sache	 es una cosa normal
normalerweise	 normalmente
normalerweise stehe ich jeden Tag um sechs Uhr auf	 normalmente me levanto cada día a las seis
der Norden	 el norte
Zaragoza liegt nördlich von Madrid	 Zaragoza está al norte de Madrid
die Nachricht	 la noticia
die neusten Nachrichten	 las últimas noticias
neunhundert	 novecientos
ich habe neunhundert Euro	 tengo novecientos euros
neunte(r,s)	 noveno
der neunte Teil	 la novena parte
neunzig	 noventa
das Buch kostet neunzig Euro	 el libro cuesta noventa euros
der November	 noviembre
im November	 en noviembre
der 1./am 1. November	 el primero/uno de noviembre
der 15./am 15. November	 el quince de noviembre
die Wolke	 la nube
es ist bewölt	 está nublado
neun	 nueve
mein Sohn ist neun Jahre alt	 mi hijo tiene nuevo años
neu	 nuevo
was gibt es Neues?	 ¿qué hay de nuevo?
die Zahl, die Nummer	 el número
die Nummer/Zahl eins	 el número uno
die Seitenzahl	 el número de pagina
hundert an der Zahl	 en número cien
nie(mals)	 nunca
er kam nie zu spät	 no ha venido nunca demasiado tarde
er kam nie zu spät	 nunca ha venido demasiado tarde
oder	 o
du oder ich	 tú o yo
dunkel	 obscuro
das ganze Haus ist dunkel	 toda la casa está obscura
dunkelrot	 rojo obscuro
die Dunkelheit	 la obscuridad
der Oktober	 octubre
im Oktober	 en octubre
der 1./am 1. Oktober	 el primero/uno de octubre
der 15./am 15. Oktober	 el quince de octubre
geschehen, sich ereignen	 ocurrir
nichts ist passiert	 no ha ocurrido nada
achtzig	 ochenta
mein Großvater ist achtzig Jahre alt	 mi abuelo tiene ochenta años 
acht	 ocho
ich habe acht Euro ausgegeben	 he gastado ocho euros
achthundert	 ochocientos
mein Auto hat achthundert Euro gekostet	 mi coche ha costado ochocientos euros
achte(r,s)	 octavo
der achte Teil	 la octava parte
Karl, der Achte	 Carlos octavo
hassen	 odiar
er hasst seine Schwester	 odia a su hermana
er hasst die Grausamkeit	 odia la crueldad
der Hass	 el odio
Hass auf etw. haben	 tener odio a algo
aus Hass auf	 por odio a
der Westen	 el oeste
León leigt westlich von Madrid	 León está al oeste de Madrid
an-, zuhören	 oír
hören Sie mal!	 ¡oiga!
ich habe sie sagen hören	 la oí decir
das Auge	 el ojo
mit (meinen) eigenen Augen	 con mis propios ojos
Achtung!	 ¡ojo!
riechen	 oler
gut schlecht riechen	 oler bien/mal
es riecht nach Parfüm	 huele a perfume
der Geruch	 el olor
vergessen	 olvidar
ich habe es vergessen	 lo he olvidado
vergessen etw. zu tun	 olvidar hacer algo
vergessen Sie das nicht	 ¡que no se le olvide!
elf	 once
meine kleine Schwester ist elf Jahre alt	 mi hermana pequeña tiene once años
die Meinung, die Ansicht	 la opinión
was ist Ihre Ansicht?	 ¿cuál es su opinion?
meiner Meinung nach	 en mi opinion
ich bin der Meinung, dass	 yo soy la opinion, que
seine Meinung ändern	 cambiar de opinión
sich eine Meinung bilden über	 formarse una opinión sobre
seine Meinung äußern	 emitir su opinión
die Ordnung	 el orden
in Ordnung bringen	 poner en orden
befehlen, (an)ordnen	 ordernar
der Befehl	 la orden
auf Befehl von	 por orden de
das Ohr	 la oreja
die Ohren spitzen	 aguzar las orejas
organisieren	 organizar
die Messe war schlecht organisiert	 la feria estaba mal organizada
die Organisation	 la organización
dunkel	 oscuro
das ganze Haus war dunkel	 toda la casa está oscura
dunkelrot	 rojo oscuro
die Dunkelheit	 la oscuridad
der Herbst	 el otoño
im Herbst	 en otoño
andere(r,s)	 otro(m.), otra(f.)
ich habe ein anderes Auto gekauft	 he comprado otro coche
gibt mir etwas anderes	 dame otra cosa
der Vater	 el padre
die Eltern	 los padres
Herr und Frau Garrote sind meine Eltern	 el señor y la señora Garrote son mis padres
(be)zahlen	 pagar
hast du die Rechnung bezahlt?	 ¿has padago la cuenta?
die Bezahlung	 el pago
die (Buch)Seite	  la página
öffne das Buch auf Seite zehn	 abre el libro en la página diez
das Land	 el país
Spanien ist ein schönes Land	 España es un país bonito
der Vogel	 el pájaro
Vögel können fliegen	 los pájaros pueden volar
das Wort	 la palabra
kein Wort verstehen	 no entender ni una palabra
das Brot	 el pan
ich habe Brot gekauft	 he comprado pan
die Bäckerei	 la panadería
ich habe Brot in der Bäckerei gekauft	 he comprado pan en la panadería
das Taschentuch	 el pañuelo
geben Sie mir bitte ein Taschentuch	 déme un pañuelo, por favor
die Hose	 los pantalones
er trug eine schwarze Hose	 llevó los pantalones negros
das Papier	 el papel
gib mir ein Blatt Papier	 dame una hoja de papel
das Paket	 el paquete
diese Paket ist schwer	 esta paquete pesa mucho
für	 para
das ist für dich	 esto es para tí
die Bushaltestelle	 la parada de autobuses
die Bushaltestelle ist in der Nähe des Bahnhofs	 la parada de autobuses está cerca de la estación
der Regenschirm	 el paraguas
es regnet in Strömen, vergiss deinen Regenschirm nicht	 llueve a cántaros, no olvides el paraguas
braun	 pardo
sie trägt eine braune Bluse	 lleva una blusa parda
scheinen	 parecer
mir scheint, dasss er krank ist	 me parece que está enfermo
das kommt mir seltsam vor	 me parece extraño
was halten Sie davon?	 ¿qué le parece?
ist dir das recht?, passt dir das?	 ¿te parece bien?
wie Sie wollen	 como le parezca
der Teil	 la parte
teilweise	 en parte
überall	 por todas partes
nirgends	 en ninguna parte
anderswo	 en otra parte
abreisen	 partir
nach Madrid abreisen	 partir para Madrid
die Abreise	 la partida
die Vergangenheit	 el pasado
vergangen	 pasado
letzten Monat	 el mes pasado
der Passagier	 el pasajero
am Flughafen von Madrid kommen viele Passagiere an	 muchos pasajeros llegan al aeropuerto de Madrid
der (Reise)Pass	 pasaporte
am Flughaben müssen die Passagiere die Pässe zeigen	 en el aeropuerto los pasajeros tienen que presentar los pasaportes 
geschehen, verbringen, vorbeigehen, reichen	 pasar
was ist los?, was ist passiert?	 ¿qué pasa? ¿qué ha pasado?
wir werden die Ferien in Spanien verbringen	 pasaremos las vacaciones en España
ich komme bei Ihnen vorbei	 pasaré por su casa 
reichen Sie mir bitte das Salz	 páseme la sal, por favor
das Ostern	 Pascua
fröhliche Ostern	 felices Pascuas
spazieren gehen	 pasearse
der Spaziergang	 el paseo
einen Spaziergang machen	 ir de paseo 
der Schritt	 el paso
Schritt für Schritt	 paso a / por paso
langsamen Schrittes	 a paso lento
(einen) Fehltritt (tun)	 (dar un) paso en falso
der Kuchen	 el pastel
ein Stück Kuchen	 un pedazo de pastel
ein Stück Kuchen	 un trozo de pastel
der Frieden, die Ruhe	 la paz
lass mich in Ruhe!	 ¡déjame en paz!
das Stück	 el pedazo
ein Stück Brot	 un pedazo de pan
bitten, bestellen	 pedir
er bat mich zu kommen	 me ha pedido que venga
um Hilfe rufen	 pedir auxilio
kämmen	 peinar
hast du dir die Haare gekämmt?	 ¿te has peinado el cabello?
der Kamm	 el peine
die Gefahr	 el peligro
in Gefahr bringen	 poner en peligro
gefährlich	 peligroso
das Haar	 el pelo
sich das Haar kämmen	 peinarse el pelo
er trägt das Haar kurz	 lleva el pelo corto
die Mühe	 la pena
wie schade!	 ¡qué pena!
es lohnt sich	 vale la pena
es lohnt sich nicht	 no merece la pena
denken, meinen	 pensar
woran denkst du?	 ¿en qué piensas?
der Gedanke	 el pensamiento
schlechter, schlimmer	 peor
Juan hat es am schlechtesten gemacht	 Juan lo ha hecho peor
das Schlimmste von allem ist...	 lo peor de todo es que
schlimmstenfalls	 en el peor de los casos
klein	 pequeño
das Haus ist klein	 la casa es pequeña
verlieren	 perder
ich habe den Schlüssel verloren	 he perdido la llave
der Verlust	 la pérdida
verzeihen, entschuldigen	 perdonar
verzeihen Sie, wenn ich mich verspätet haben sollte	 perdone Vd que haya llegado tarde
die Vergebung	 el perdón
wie bitte?	 ¿perdón?
um Verzeihung bitten	 pedir perdón
die Zeitung	 el periódico
ich lese jeden Tag die Zeitung	 leo el periódico cada día
erlauben, gestatten	 permitir
Rauchen verboten!	 ¡no se permite fumar!
die Erlaubnis	 el permiso
wenn Sie erlauben	 con su permiso
um Erlaubnis bitten	 pedir permiso
darf ich?	 ¿hay permiso?
der Führerschein	 el permiso de conducir
zeig mir deinen Führerschein	 muéstrame tu permiso de conducir
aber	 pero
ich kam nicht aber meine Schwester	 yo no vine pero mi hermana sí
der Hund	 el perro
Juan wurde von einem schwarzen Hund gebissen	 a Juan le mordió un perro negro
die Person	 la persona
Frau Garrote ist eine nette Person	 la señora Garrote es una persona amable
schwer	 pesado
ein schweres Gewicht	 un peso pesado
das Leid	 el pesar
es tut mir Leid	 me pesa (+inf.)
es tut mir Leid, ihn beleidigt zu haben	 me pesa haberlo ofendido
so Leid es mir tut	 mal que me pese
obwohl	 a pesar de
obwohl er krank ist, hilft er mir	 a pesar de estar enfermo, me ayuda
trotz	 a pesar de (+Sub.)
trotz all der Arbeit, hilft er mir	 a pesar de todo el trabajo, me ayuda
der Fisch	 el pescado
schmeckt dir der Fisch?	 ¿te gusta el pescado?
der Fisch	 el pez
wie ein Fisch im Wasser	 como el pez en el agua
der Fuß	 el pie
er brach sich den Fuß	 se ha quebrado el pie
das Bein	 la pierna
er brach sich das Bein	 se ha quebrado la pierna
das Stück, das Zimmer	 la pieza
Stück für Stück	 pieza por pieza
Preis pro Stück	 precio por pieza
der Pfeffer	 la pimienta
Pfeffer verwendet man als Gewürz	 la pimienta se usa como condimento
die Etage, der Stock	 el piso
ich wohne im zweiten Stock	 vivo en el segundo piso
Erdgeschoss	 el piso bajo
erster Stock	 el piso principal
der Teller	 el plato
trag die Teller ins Esszimmer	 trae los platos al comedor
der Strand	 la playa
wir werden die Ferien am Strand verbringen	 pasaremos las vacaciones en la playa
der Platz	 la plaza
war im Zug noch ein Platz frei?	 ¿había una plaza libre en el tren?
arm	 pobre
armer Teufel	 pobre hombre
ich Unglückliche(r)!	 ¡pobre de mí!
die Armut	 la pobreza
wenig	 poco
ich habe wenig Zeit	 tengo poco tiempo
etwas, ein bisschen	 un poco
haben Sie etwas/ein bisschen Zeit?	 ¿tiene Vd. un poco de tiempo?
können, dürfen	 poder
ich kann das nicht tun	 no puedo hacer esto
du darfst ins Kino gehen	 puedes ir al cine 
vielleicht	 puede ser
die Polizei	 la policía
Juan wurde von der Polizei verhaftet	 Juan fue detennido por la policía
setzen, legen, stellen	 poner
leg das Buch auf den Tisch	 pon el libro sobre la mesa
verbinden Sie mich mit Juan	 póngame con Juan
sich anziehen	 ponerse
sie zog eine Bluse an	 su puso una blusa
sich daran machen etw. zu tun	 ponerse a hacer algo
er machte sich daran die Hausaufgaben zu machen	 su puso a hacer los deberes
durch, von, wegen	 pro
bitte!	 ¡por favor!
er konnte wegen des schlechten Wetters nicht kommen	 no pudo ir por el mal tiempo
deshalb	 por eso
es ist schon spät, deshalb kann ich nicht kommen	 ya es tarde, por es no puedo venir
warum	 por qué
warum gehst du jetzt?	 ¿por qué te vas ahora?
weil	 porque
ich kann nicht kommen, weil ich krank bin	 no puedo ir porque estoy enfermo
sich verhalten, sich benehmen	 portarse
er benimmt sich schlecht	 se porta mal
möglich	 posible
sein Möglichstes tun	 hacer todo lo posible
die Möglichkeit	 la posibilidad
der Preis	 el precio
der Preis ist fünfzehn Euro	 el precio es quince euros
vorziehen, bevorzugen	 preferir
ich ziehe Tee dem Kaffee vor	 prefiero el té al café
ich gehe lieber	 prefiero irme
fragen	 preguntar
er fragte ihn nach seinem Namen	 le preguntó pro su nombre
hat jd. nach mir gefragt?	 ¿ha preguntó alg. por mí?
die Frage	 la pregunta
darf ich Ihnen eine Frage stellen?	 ¿puedo hacerle una pregunta?
sich sorgen	 preocuparse
mach dir keine Sorgen	 no te preocupes
vorstellen	 presentar
darf ich Sie Anna vorstellen?	 ¿puedo presentarle a Ana?
die Vorstellung	 la presentación
der Frühling	 la primavera
im Frühling	 en primavera
erste(r,s)	 primero (m.), primer(vor m. Sub. im Sing.), primera (f.)
erstens	 primeramente
erstens	 en primer lugar
Anfang November	 a primeros de noviembre
der Anfang, das Prinzip	 el principio
am Anfang	 al principio
grundsätzlich	 en principio
sich beeilen	 darse prisa
beeil dich!	 ¡date prisa!
die Eile	 la prisa
ich bin in Eile	 tengo prisa
es eilt	 le corre prisa
das Gefängnis	 la prisión 
ins Gefängnis stecken	 meter en prisión
prüfen, beweisen	 probar
die Probe, der Beweis	 la prueba
auf die Probe stellen	 poner a prueba
etw. beweisen	 dar pruebas de algo
das Problem	 el problema
er hat viele Probleme	 tiene muchos problemas
genau das ist das Problem	 ahí está el problema
der Lehrer	 el profesor
die Lehrerin	 la profesora
mein Biologielehrer heißt Herr Rubio	 mi profesor de biología se llama señor Rubio
verbieten	 prohibir
Rauchen verboten	 prohibido fumar, se prohíbe fumar
Eintritt verboten	 entrada prohibida
das Verbot	 la prohibicón
Parkverbot	 prohibición de aparcar / estacionar
versprechen	 prometer
er versprach mir zu kommen	 me prometió venir
das Versprechen	 la promesa
er hielt sein Versprechen	 cumplió su promesa
schnell, bald	 pronto
so schnell wie möglich	 lo más pronto posible
eigen	 propio
ich habe mein eigenes Zimmer	 tengo mi propia habitación
mit (meinen) eigenen Augen	 con mis propios ojos
vorschlagen	 proponer
was hat er vorschlagen?	 ¿qué ha propuesto?
der Vorschlag	 la proposición
er hat mir einen Vorschlag gemacht	 me ha hecho una proposición
der Vorteil / der Nutzen	 el provecho
guten Appetit!	 ¡buen provecho!
nächste(r,s)	 próximo
nächste Woche	 la próxima semana
nächsten Monat	 el próximo mes
nächestes Jahr	 el próximo año
das Dorf	 el pueblo
dieses Dorf liegt in der Nähe von Madrid	 ese pueblo está cerca da Madrid
die Brücke	 el puente
über den Fluss führt eine Brücke	 hay un puente sobre el río
das Schwein	 el puerco
dieser Bauer hat dreißig Schweine	 ese campesino tiene treinta puercos
die Tür	 la puerta
öffne die Tür	 abre la puerta
schließ die Tür	 cierra la puerta
denn, da, daher, folglich	 pues
nun denn	 pues bien
wieso denn?	 ¿pues cómo?
doch! natürlich!	 ¡pues sí!
na also!	 ¡pues qué!
als	 que
mein Bruder ist größer als ich	 mi hermano es mas alto que yo
was	 qué
was hast du gemacht?	 ¿qué has hecho?
was ist los?	 ¿qué pasa?
worum handelt es sich?	 ¿de qué se trata?
wie geht's?	 ¿qué tal?
bleiben	 quedar
wo waren wir stehen geblieben?	 ¿dónde habiamos quedado?
das Hotel befindet sich in der Nähe des Bahnhofs	 el hotel queda cerca de la estación
wollen / mögen	  querer
ich möchte jetzt gehen	 ahora quiero irme
ich möchte gern bald abreisen	 quisiera partir pronto
ich mag / liebe dich	 te quiero
der Käse	 el queso
ich mag Camembertkäse	 me gusta el Queso de Camembert
wer	 quién (m./f. sg.) / quiénes (m./f. pl.)
wer sind diese Frauen	 ¿quiénes son estas mujeres?
fünfzehn	 quince
in vierzehn Tagen	 dentro de quince días
fünfhundert	 quinientos
ich habe fünfhundert Euro ausgegeben	 he gastado quinientos euros
fünfte(r, s)	 quinto
an fünfter Stelle	 en quinto lugar
der fünfte Teil	 la quinta parte
sich ausziehen	 quitarse
sie zog die Bluse aus	 se quitó la blusa
vielleicht	 quizás
vielleicht kommt er	 quizás venga
das Radio	 el radio
im Radio	 en la radio
schnell	 rápido
schnell ist das Gegenteil von langsam	 rápido es lo contrario de lento
die Maus	 el ratón
Katzen jagen Mäuse	 gatos cazan ratones
der Grund	 la razón
(Un)Recht haben	 (no) tener razón
du hast Unrecht	 no tienes razón
deshalb	 por esta razón
es ist schon spät, aus diesem Grund kann ich nicht kommen	 ya es tarde, por esta razón no puedo venir
erhalten / empfangen	 recibir
hast du den Brief von Juan bekommen?	 ¿has recibido la carta de Juan?
aufheben	 recoger (hihi)
ich hob das Boch vom Boden auf	 recogí el libro el suelo
erinnern	 recordar
darf ich Sie daran erinnern, dass wir um fünf gehen müssen?	 ¿puedo recordarle que debemos partir a las cinco?
ich erinnere mich genau	 recuerdo precisamente
die Erinnerung	 el recuerdo
geradeaus	 recto
gehen Sie immer geradeaus	 siga Vd. siempre recto
Geschenk	 el regalo
ich habe ein Geschenk für Anna	 tengo un regalo para Ana
schenken	 regalar
die Königin	 la reina
die Königin von Spanien heißt Sofia	 la reina de España se llama Sofía
lachen	 reir
warum lachst du?	 ¿por qué te ríes?
der Blitz	 el relámpago
es blitzt	 relampaguea
wiederholen	 repetir
können Sie den letzten Satz wiederholen?	 ¿puede Vd. repetir la frase?
die Wiederholung	 la repetición
antworten	 responder
ich kann seine Frage nicht beantworten	 no puedo responder a su pregunta
die Antwort	 la respuesta
das Restaurant	 el restaurante
in diesem Restaurant isst man sehr gut	 en este restaurante se come muy bien
der Rest	 el resto
Sie können den Rest behalten	 puede guardar el resto 
das Ergebnis / das Resultat	 el resultado
das Ergebnis ist falsch	 el resultado es falso
die Toilette	 el retrete
wo ist die Toilette?	 ¿dónde está el retrete?
die Zeitschrift	 la revista 
hast du diese Zeitschrift gelesen?	 ¿has leído esta revista?
der König	 el rey
der König von Spanien heißt Juan Carlos	 el rey de España se llama Juan Carlos
das Königspaar	 los reyes
reich	 rico
er hat eine reiche Frau geheiratet	 se ha casado con una mujer rica
der Reichtum	 la riqueza
der Fluss	 el río
wir haben den Fluss in einem Boot überquert	 hemos atravesade el río en un barco
stehlen	 robar
die Jugendlichen haben ihm sein Auto gestohlen	 los jóvenes le han robado su coche
bitten	 rogar
ich bitte Sie mir zu sagen, wann der Zug kommt	 le ruego me diga cuando llega el tren
rot	 rojo
welche Farbe hat dein Auto? Rot	 ¿de qué color tiene tu coche? Rojo
brechen	 romper
mein Auto is kaputt	 mi coche está roto
sich den Kopf zerbrechen	 romperse la cabeza
in Tränen ausbrechen	 romper a llorar
die Kleidung, das Kleidungsstück	 la ropa
er zog sich um	 se cambió de ropa
der Lärm, das Geräusch	 el ruido
viel Lärm um nichts	 mucho ruido pocas nueces
der Samstag, der Sonnabend	 el sábado
samstags	 los sábados
nächsten Samstag	 el próximo sábado
nächsten Samstag	 el sábado que viene
letzten Samstag	 el sábado pasado
jeden Samstag	 cada sábado
wissen/können	 saber
ich weiß es nicht	 no lo sé
er kann kein Deutsch	 no sabe alemán
soviel ich weiß	 que yo sepa
was weiß ich	 que sé yo
das Salz	 la sal
Salz und Pfeffer werden als Gewürze verwendet	 sal y pimienta se usan como condimentos
das Wohnzimmer	 la sala de estar
Juan ist im Wohnzimmer und liest ein Buch	 Juan está en la sala de estar y lee un libro
hinausgehen	 salir
aus dem Haus kommen	 salir de casa
der Ausgang, die Ausfahrt	 la salida
springen	 saltar
ich bin über die Mauer gesprungen	 he saltado el muro
die Gesundheit	 la salud
auf Ihr Wohl!	 ¡a su salud!
Prost!	 ¡salud!
gesund	 sano
zufrieden	 satisfecho
ich bin sehr zufrieden mit seiner Arbeit	 estoy muy satisfecho con su trabajo
die Zufriedenheit	 la satisfacción
trocken	 seco
meine Hosen  sind trocken	 mis pantalones están secos
geheim	 secreto
das Geheimnis	 el secreto
ein Geheimnis bewahren	 guardar un secreto
der Durst	 la sed
durstig sein	 tener sed
verdursten	 morirse de sed
folgen	 seguir
fogle Sie mir bitte	 sígame por favor
sprechen Sie weiter!	 ¡siga hablando!
folgend	 siguiente
am folgenden Tag	 al día siguiente
zweite(r,s)	 segundo
an zweiter Stelle / zweitens	 en segundo lugar
die Sekunde	 el segundo
es ist fünf Uhr, zwanzig Minuten und zehn Sekunden	 son las cinco, viente minutos y diez segundos
sicher	 seguro
ich bin sicher, dass sie kommen wird	 estoy seguro que ella vendrá 
die Sicherheit	 la seguridad
sechs	 seis
er ist sechs Jahre alt	 el tiene seis años
sechshundert	 seiscientos
der Ring kostet sechshundert Euro	 el anillo cuesta seiscientos euros
die Briefmarke	 el sello (postal)
ich habe Briefmarken für zwanzig Euro für die Briefe gekauft	 he comprado sellos (postales) de viente euros para las cartas
die Ampel	 el semáforo
sie haben die Ampeln abgeschaltet	 han apagado las semáforos
die Woche	 la semana
jede Woche	 cada semana
nächste Woche	 la próxima semana
nächste Woche	 la semana que viene
letzte Woche	 la semana pasade 
(sich) setzen	 sentar(se)
er setzt sich an den Tisch	 se sienta a la mesa
bitte setzen Sie sich	 sientense, por favor 
sitzen	 estar sentado
er sitzt am Tisch	 está sentado a la mesa
fühlen, empfinden	 setir
ich fühle mich wohl	 me siento bien
ich fühle mich schlecht	 me siento mal
es tut mir sehr Leid	 lo siento mucho
es tut mir Leid, wenn ich ihn beleidigt habe	 siento haberle ofendido
das Gefühl	 el sentimiento
die Adresse	 las señas
adressieren	 poner las señas
Herr	 el señor
Herr Blanco	 señor Blanco
Frau	 señora 
Frau Blanco	 señora Blanco
meine Damen und Herren	 señoras y señores
junger Herr	 señorito
Fräulein	 señorita
der September	 septiembre
im September	 en septiembre 
am 1. / der 1. September	 el primero / uno de septiembre
am 15. / der 15. September	 el quince de septiembre
siebte(r,s)	 séptimo
an siebter Stelle	 en séptimo lugar
der siebte Teil	 la séptima parte
sein	 ser
mein Vater is Arzt	 mi padre es médico
das Auto ist neu	 el coche es nuevo
was ist aus ihm geworden?	 ¿qué ha sido de él?
sechzig	 sesenta
meine Mutter ist sechzig Jahre alt	 mi madre tiene sesenta años
siebzig	 setenta
meine Großmutter ist siebzig Jahre alt	 mi abuela tiene setenta años
siebenhundert	 setecientos
die Kette kostet siebenhundert Euro	 la cadana cuesta setecientos euros
der September	 setiembre
im September	 en setiembre 
am 1. / der 1. September	 el primero / uno de setiembre
am 15. / der 15. September	 el quince de setiembre
siebte(r,s)	 sétimo
an siebter Stelle	 en sétimo lugar
der siebte Teil	 la sétima parte
sechste(r,s)	 sexto
an sechster Stelle	 en sexto lugar
der sechste Teil	 la sexta parte
wenn / falls , ob	 si
wenn er kommt, gehe ich	 si viene yo me voy
ich weiß nicht, ob er kommt	 no sé si viene
ja	 sí
sprechen Sie Spanish? Ja	 habla Vd. español? Sí.
er sagt ja	 dice que sí
doch / natürlich	 pues sí
immer	 siempre
es ist immer das Gleiche	 es siempre lo mismo
wie immer	 como siempre
ein für allemal	 una vez para siempre
zu derselben Zeit	 a la hora de siempre
sieben	 siete
meine Schwester ist sieben Jahre alt	 mi hermana tiene siete años
bedeuten	 significar
was bedeutet dieses Wort?	 ¿qué significa esta palabra?
die Bedeutung	 la signification
wie ist die Bedeutung dieses Wortes?	 ¿cuál es el signification de esta palabra?
das Zeichen	 el signo
jm. ein Zeichen geben / zuwinken	 hacer signos a alg.
der Stuhl	 la silla
jm. einen Stuhl anbiete	 ofrecer una silla a alg.
ohne	 sin
Maria ist ohne Juan gekommen	 Maria ha venido sin Juan
ohne dass	 sin que
du kannst nicht ausgehen, ohne dass ich es erlaubt habe	 no puedes salir sin que lo haya permitido
sonst / sondern	 sino
beeil dich, sonst kommst du zu spät	 date prisa, sino llegarás demasiado tarde
nicht du hast es getan, sondern er	 no lo hiciste tú, sino él
niemand weiß es außer dir	 nadie lo sabe sino tú
die Lage / die Situation	 la situación
die Situation ist sehr schwierig	 la situación es muy difícil
(nicht) in der Lage sein etw. zu tun	 (no) encontrarse en situación de hacer algo
auf, über	 sobre
das Buch liegt auf dem Tisch	 el libro está la mesa
vor allem	 sobre todo
die Sonne	 el sol
die Sonne scheint	 hace / hay sol
bei Sonnenuntergang	 al caer del sol
bei Sonnenaufgang	 a la salida del sol
nur	 solamente
ich spreche nur ein bisschen Spanish	 hablo español solamente un poco
ich spreche nur ein bisschen Spanish	 hablo solamente un poco de español
allein	 solo
er ist allein zu Hause	 está solo en casa
nur / erst	 sólo
erst jetzt	 sólo ahora
der Hut	 el sombrero
(sich) den Hut aufsetzen	 poner(se) el sombrero
den Hut abnehmen	 quitarse el sombrero
klingen / klingeln	 sonar
das klingt seltsam	 suena extraño
es hat geklingelt	 ha sonado el timbre
lächeln	 sonreír
sie lächelte ihn an	 le sonrió
er sagte lächend	 sonrió diciendo
träumen	 soñar
er trämute von einem neuen Auto	 soño con un coche nuevo
ich träumte von dir	 soñe contigo
der Traum / der Schlaf	 el sueño
überraschen	 sorprender
ich staune	 quedo sorprendido
die Überraschung	 la sorpresa
angenehm überraschen	 dar una sorpresa agradable
überraschend	 sorprendente
der Keller	 el sótano
er wohnt im Keller	 vive en el sótano
plötzlich	 súbito
plötzliche Meinungsänderung	 un cambio súbito de opinión
das Ereignis	 el suceso
das war ein sehr überraschendes Ereignis	 era un suceso muy sorprendente
schmutzig	 sucio
er hat schmutzige Hände	 tiene las manos sucias
das Glück	 la suerte
viel Glück	 buena suerte
zum Glück	 por suerte
Glück haben	 tener suerte
Pech haben	 tener mala suerte
der Supermarkt	 el supermercado
ich gehe in den Supermarkt einkaufen	 voy de compras al supermercado
vermuten	 suponer
ich vermute, dass er krank ist	 supongo que está enfermo
der Süden	 el sur
Sevilla liegt südlich von Madrid	 sevilla está al sur de Madrid 
solche(r,s)	 tal
ich habe so etwas zuvor noch nicht gesehen	 no he visto tales cosas antes
auch, ebenfalls	 también
ich gehe auch	 yo también me voy 
auch nicht	 tampoco
ich gehe auch nicht	 yo no me voy tampoco
ich gehe auch nicht	 yo tampoco me voy
so	 tan
diese Frau ist so nett	 esta mujer es tan amable
so viel / so sehr	 tanto
warum redest du so viel?	 ¿por qué hablas tanto?
umso besser	 tanto mejor
spät	 tarde
es ist schon spät	 es tarde ya
er kam zu spät	 llegó / vino demasiado tarde
bis spätestens fünf Uhr	 lo más tarde a las cinco
der Nachmittag / der (beginnende) Abend	la tarde
heute Nachmittag	 esta tarde
gestern Nachmittag	 ayer por la tarde
guten Tag / guten Abend	 buenas tardes
die Postkarte	 la tarjeta postal
hast du schon die Postkarte an Juan geschrieben?	 ¿has escrito la tarjeta postal a juan?
das Taxi	 el taxi
ruf mir ein Taxi	 llámame un taxi
die Tasse	 la taza
eine Tasse Kaffee trinken	 tomar una taza de café
der Tee	 el té 
ich ziehe Tee dem Kaffee vor	 prefiero el té al café
das Theater	 el teatro
ins Theater gehen	 ir al teatro
telefonieren	 telefonear
das Telefon	 el teléfono
ruf mich an	 llámame (por teléfono)
das Fernsehen	 la televisión / la tele
ich sehe fern	 veo la televisión
Angst haben/fürchten	 temer
er hat Angst vor seinem Vater	 teme a su padre
ich fürchte, dass er nicht kommt	 temo que no venga
